,rank_x,team,points_x,rank_y,points_y,rank_x,points_x,rank_y,points_y,total.games_x,total.wins_x,total.losses_x,total.ties_x,total.games_y,total.wins_y,total.losses_y,total.ties_y,total.games_x,total.wins_x,total.losses_x,total.ties_x,total.games_y,total.wins_y,total.losses_y,total.ties_y,totalPPA,percentPPA
42,43,TCU,188.64,39,191.44,21,235.79,28,210.03,13,12,1,0,13,11,2,0,13,6,7,0,14,11,3,0,198.1,0.411
43,44,Pittsburgh,187.66,46,183.18,30,209.23,37,202.12,13,6,7,0,13,8,5,0,13,8,5,0,12,5,7,0,152.9,0.503
44,45,Louisville,183.64,33,201.4,38,196.02,34,205.15,13,9,4,0,13,8,5,0,13,9,4,0,13,8,5,0,224.8,0.377
45,46,Vanderbilt,183.05,49,181.37,54,171.54,65,167.42,12,3,9,0,12,4,8,0,13,6,7,0,12,5,7,0,215.0,0.611
46,47,Northwestern,182.68,55,174.83,52,174.91,50,182.07,12,5,7,0,13,10,3,0,13,7,6,0,13,10,3,0,212.8,0.643
47,48,Indiana,180.46,53,175.35,53,172.23,62,167.99,12,4,8,0,13,6,7,0,13,6,7,0,12,5,7,0,94.9,0.3
48,49,Kansas State,178.29,54,175.02,72,155.49,61,169.37,13,9,4,0,13,6,7,0,13,9,4,0,13,8,5,0,180.2,0.57
49,50,Kansas,177.14,73,153.94,70,159.19,71,159.35,12,3,9,0,12,0,12,0,12,2,10,0,12,1,11,0,146.3,0.856
50,51,Boston College,177.12,60,169.45,78,146.69,67,162.61,13,7,6,0,12,3,9,0,13,7,6,0,13,7,6,0,167.0,0.777
51,52,Syracuse,176.87,57,172.06,62,165.15,54,180.08,12,3,9,0,12,4,8,0,12,4,8,0,12,4,8,0,179.3,0.573
52,53,Washington State,176.62,42,188.41,56,169.74,44,186.45,12,3,9,0,13,9,4,0,13,8,5,0,13,9,4,0,215.1,0.481
53,54,Georgia Tech,175.71,44,185.45,60,167.13,48,184.4,14,11,3,0,12,3,9,0,13,9,4,0,11,5,6,0,163.2,0.742
54,55,California,174.52,34,198.77,31,207.8,70,159.53,12,5,7,0,13,8,5,0,12,5,7,0,12,5,7,0,293.5,0.871
55,56,Rutgers,174.14,56,172.19,64,163.8,42,189.01,13,8,5,0,12,4,8,0,12,2,10,0,12,4,8,0,55.5,0.466
56,57,Minnesota,172.32,63,167.01,46,182.22,59,171.42,13,8,5,0,13,6,7,0,13,9,4,0,12,5,7,0,96.9,0.507
57,58,Iowa,171.84,59,169.99,47,181.39,41,191.44,13,7,6,0,14,12,2,0,13,8,5,0,13,8,5,0,252.9,0.824
58,59,Iowa State,171.65,64,166.5,55,170.58,52,180.53,12,2,10,0,12,3,9,0,12,3,9,0,13,8,5,0,248.9,0.567
59,60,Oregon State,166.96,61,167.89,58,169.17,51,181.32,12,5,7,0,12,2,10,0,12,4,8,0,12,1,11,0,135.8,0.505
60,61,Duke,166.35,52,175.77,33,204.67,47,184.46,13,9,4,0,13,8,5,0,12,4,8,0,13,7,6,0,224.9,0.849
61,62,Marshall,165.64,75,149.98,51,176.55,87,132.84,14,13,1,0,13,10,3,0,12,3,9,0,13,8,5,0,161.3,0.474
62,63,Boise State,163.09,58,171.68,68,160.66,64,167.43,14,12,2,0,13,9,4,0,13,10,3,0,14,11,3,0,241.9,0.533
63,64,BYU,161.71,65,165.06,49,177.85,66,167.37,13,8,5,0,13,9,4,0,13,9,4,0,13,4,9,0,220.0,0.863
64,65,Cincinnati,161.43,68,162.45,74,152.74,63,167.8,13,9,4,0,13,7,6,0,12,4,8,0,12,4,8,0,220.2,0.795
65,66,Utah,160.67,45,183.38,37,200.66,33,205.78,13,9,4,0,13,10,3,0,13,9,4,0,13,7,6,0,220.8,0.541
66,67,Wake Forest,160.4,51,176.85,57,169.4,68,161.99,12,3,9,0,12,3,9,0,13,7,6,0,13,8,5,0,182.5,0.363
67,68,UCF,159.55,71,160.78,65,162.22,55,178.34,13,9,4,0,12,0,12,0,13,6,7,0,13,13,0,0,506.9,0.773
68,69,Temple,156.27,80,143.34,59,167.55,119,108.13,12,6,6,0,14,10,4,0,14,10,4,0,13,7,6,0,192.9,0.53
69,70,Purdue,156.02,67,162.85,80,145.09,72,158.89,12,3,9,0,12,2,10,0,12,3,9,0,13,7,6,0,213.9,0.778
70,71,Western Michigan,153.42,76,147.78,67,160.72,89,129.94,13,8,5,0,13,8,5,0,14,13,1,0,12,6,6,0,206.0,0.798
71,72,Illinois,153.35,48,181.74,73,153.64,46,185.24,13,6,7,0,12,5,7,0,12,3,9,0,12,2,10,0,104.0,0.77
72,73,San Diego State,147.92,70,161.96,82,141.93,77,149.69,13,7,6,0,14,11,3,0,14,11,3,0,13,10,3,0,173.3,0.451
73,74,Colorado,147.9,69,162.04,69,160.42,35,203.78,12,2,10,0,13,4,9,0,14,10,4,0,12,5,7,0,203.9,0.578
74,75,Houston,144.26,89,131.58,36,201.5,69,160.34,13,8,5,0,14,13,1,0,13,9,4,0,12,7,5,0,120.9,0.324
75,76,East Carolina,136.87,93,126.85,79,146.62,79,144.55,13,8,5,0,12,5,7,0,12,3,9,0,12,3,9,0,99.1,0.272
76,77,Old Dominion,136.07,110,115.65,120,106.63,124,99.41,12,6,6,0,12,5,7,0,13,10,3,0,12,5,7,0,103.4,0.718
77,78,Memphis,135.91,77,146.79,61,165.98,56,177.6,13,10,3,0,13,9,4,0,13,8,5,0,13,10,3,0,268.0,0.4
78,79,Tulsa,130.3,109,116.08,95,128.52,85,135.07,12,2,10,0,13,6,7,0,13,10,3,0,12,2,10,0,205.8,0.74
79,80,SMU,128.23,81,142.99,75,152.27,80,140.4,12,1,11,0,12,2,10,0,12,5,7,0,13,7,6,0,321.9,0.639
80,81,Nevada,126.15,98,122.5,105,118.76,95,125.03,13,7,6,0,13,7,6,0,12,5,7,0,12,3,9,0,267.0,0.807
81,82,Southern Mississippi,125.74,87,133.4,100,126.05,74,152.71,12,3,9,0,14,9,5,0,13,7,6,0,13,8,5,0,166.0,0.429
82,83,San José State,124.98,62,167.14,84,137.84,98,122.11,12,3,9,0,13,6,7,0,12,4,8,0,13,2,11,0,167.7,0.986
83,84,Fresno State,124.42,72,155.02,85,137.22,84,137.74,14,6,8,0,12,3,9,0,12,1,11,0,14,10,4,0,343.7,0.855
84,85,Middle Tennessee,124.03,86,134.77,96,128.26,91,128.1,12,6,6,0,13,7,6,0,13,8,5,0,13,7,6,0,259.2,0.762
85,86,Colorado State,122.77,119,101.72,76,150.5,73,158.09,13,10,3,0,13,7,6,0,13,7,6,0,13,7,6,0,115.8,0.209
86,87,Appalachian State,121.25,114,112.03,109,111.72,107,116.78,12,7,5,0,13,11,2,0,13,10,3,0,13,9,4,0,133.0,0.324
87,88,Western Kentucky,121.12,111,115.65,101,124.1,82,138.03,13,8,5,0,14,12,2,0,14,11,3,0,13,6,7,0,100.2,0.22
88,89,Louisiana Tech,119.17,82,142.32,94,128.91,100,121.72,14,9,5,0,13,9,4,0,14,9,5,0,13,7,6,0,274.5,0.746
89,90,Tulane,118.86,91,128.9,97,127.78,112,114.66,12,3,9,0,12,3,9,0,12,4,8,0,12,5,7,0,262.9,0.845
90,91,Rice,117.7,101,120.11,129,93.86,122,101.12,13,8,5,0,12,5,7,0,12,3,9,0,12,1,11,0,119.4,0.635
91,92,Toledo,115.38,84,138.12,88,132.92,78,146.6,13,9,4,0,12,10,2,0,13,9,4,0,14,11,3,0,294.3,0.531
92,93,New Mexico,112.56,116,110.03,83,141.76,118,109.85,12,4,8,0,13,7,6,0,13,9,4,0,12,3,9,0,108.6,0.687
93,94,Florida Atlantic,111.77,79,146.02,89,132.74,60,171.18,12,3,9,0,12,3,9,0,12,3,9,0,14,11,3,0,255.6,0.494
94,95,Arkansas State,111.51,90,131.45,90,132.18,111,114.91,13,7,6,0,13,9,4,0,13,8,5,0,12,7,5,0,319.1,0.714
95,96,Georgia Southern,111.25,85,137.18,77,149.4,106,118.78,12,9,3,0,13,9,4,0,12,5,7,0,12,2,10,0,97.5,0.625
96,97,Texas State,109.9,95,124.71,110,111.71,92,127.89,12,7,5,0,12,3,9,0,12,2,10,0,12,2,10,0,75.5,0.37
97,98,Northern Illinois,109.52,83,138.94,112,111.4,97,122.74,14,11,3,0,14,8,6,0,12,5,7,0,13,8,5,0,163.1,0.64
