conference,team,offense.overall,defense.overall
Mountain West,Air Force,0.22377467342692301632,0.18481995287702498184
Mid-American,Akron,0.04229059621319926735,0.08879180464958418798
SEC,Alabama,0.40822443346430915370,0.05676970003201141185
Sun Belt,Appalachian State,0.26183259214654409102,-0.00767564656139304009
Pac-12,Arizona,0.21790684326244603150,0.20704472486428957377
Pac-12,Arizona State,0.22391993211048012249,0.18334825818979227201
SEC,Arkansas,0.10423864787497998975,0.21137771678984446677
Sun Belt,Arkansas State,0.20706018486273904570,0.14016506151230442969
FBS Independents,Army,0.30081828584576105934,0.16088795984212592992
SEC,Auburn,0.16837626249356993845,0.07417581030671773763
Mid-American,Ball State,0.17512601691765050354,0.23807993823754400248
Big 12,Baylor,0.24984582344710854269,0.26438455871854493123
Mountain West,Boise State,0.26684082365445723733,0.15281119344965351959
ACC,Boston College,0.13309762436878618212,0.07706644563936364233
Mid-American,Bowling Green,0.13370640605221728849,0.31563967705844619657
Mid-American,Buffalo,0.20707411167470939222,0.17155603130494555982
FBS Independents,BYU,0.17018661397766643778,0.10782175496330024099
Pac-12,California,0.04144848084994475828,0.01553242556775248576
Mid-American,Central Michigan,-0.02355681642370923379,0.10082012975575702014
Conference USA,Charlotte,0.12823103560973333338,0.12024830507319675630
American Athletic,Cincinnati,0.26055490342327919257,0.01916925659704295382
ACC,Clemson,0.36777694309220781780,-0.03409414241723331199
Sun Belt,Coastal Carolina,0.22488212007967232880,0.34029665630182522356
Pac-12,Colorado,0.11253305368285843932,0.14203342062937663828
Mountain West,Colorado State,0.14307676349708182661,0.28351514959973183206
American Athletic,Connecticut,0.15357682505076422756,0.51659359992300310048
ACC,Duke,0.14260998950367953981,0.16632310087608684801
American Athletic,East Carolina,0.08369788454522494473,0.21639464330795289382
Mid-American,Eastern Michigan,0.13733883154792619247,0.10828341565474495770
SEC,Florida,0.25326737560911798390,0.08881413297870744897
Conference USA,Florida Atlantic,0.22335477883395049021,0.18021547460041639096
Conference USA,Florida International,0.27712828087571210709,0.18683258514022157238
ACC,Florida State,0.10084010101201867190,0.08942124157412091335
Mountain West,Fresno State,0.25333313579447831605,0.04017376790584205872
SEC,Georgia,0.35610307099939003157,0.07200655411466681320
Sun Belt,Georgia Southern,0.20874871848581083726,0.16301829405683573598
Sun Belt,Georgia State,0.20651247305103036925,0.39880797744260316783
ACC,Georgia Tech,0.27798932485513529318,0.24208559233970051600
Mountain West,Hawai'i,0.21882790726543299458,0.25500968682734070145
American Athletic,Houston,0.31640734084275529680,0.23082407704410320148
Big Ten,Illinois,0.17156112224716903799,0.34542605632338875848
Big Ten,Indiana,0.14109376569667776403,0.23209272404433433227
Big Ten,Iowa,0.19557630554891771742,0.02539838826247485298
Big 12,Iowa State,0.19389745604637081687,0.13283329778420122081
Big 12,Kansas,0.12390980197821837065,0.21755984788599121831
Big 12,Kansas State,0.12075265387962483034,0.18506376043052885072
Mid-American,Kent State,0.12528715354097792754,0.21893613706771914339
SEC,Kentucky,0.17491397124572162890,0.11304576465678652918
FBS Independents,Liberty,0.14732292065050339571,0.22329792964824323859
Sun Belt,Louisiana,0.25523355365021945306,0.31107507143852734582
Sun Belt,Louisiana Monroe,0.22176116439832260087,0.24983452745372123955
Conference USA,Louisiana Tech,0.13054030632917987915,0.11308294712863569327
ACC,Louisville,0.07586623900811121007,0.35272107194840109134
SEC,LSU,0.16177388292404978313,0.08614984321511129100
Conference USA,Marshall,0.13306354613884339914,0.08237366165477983720
Big Ten,Maryland,0.18940834644520879410,0.12360964461309129643
American Athletic,Memphis,0.31193300561953645531,0.18054463556125045238
ACC,Miami,0.15223325481507059490,-0.00649719421817900995
Mid-American,Miami (OH),0.16624364060632884740,0.17484373098553094498
Big Ten,Michigan,0.23761035673039745055,0.01212809929012029420
Big Ten,Michigan State,0.02857881442160741282,0.03513754369691771925
Conference USA,Middle Tennessee,0.12629707858921156289,0.14443928904380430988
Big Ten,Minnesota,0.18059598492765719717,0.19673749242107067358
SEC,Mississippi State,0.23672034385017812345,-0.04656186193164637556
SEC,Missouri,0.23145138186120009673,0.11755712273916044876
American Athletic,Navy,0.16449695873003521750,0.30298509153491814538
ACC,NC State,0.22454653934156989516,0.19194813063584027065
Big Ten,Nebraska,0.23299347055970828435,0.17272471064788088528
Mountain West,Nevada,0.17047955707194256286,0.10057972040709313897
Mountain West,New Mexico,0.09959277814300386975,0.26901720607402455264
FBS Independents,New Mexico State,0.06299470573355523389,0.22024616642259132761
ACC,North Carolina,0.13868949676393276106,0.21742735675978348992
Mid-American,Northern Illinois,0.05944055124888340178,0.07896256152579919773
Conference USA,North Texas,0.20003955328902276630,0.09640923807127445771
Big Ten,Northwestern,0.06154267701740858226,0.11585534405862615597
FBS Independents,Notre Dame,0.21798578412393922046,0.07914217127373818864
Mid-American,Ohio,0.34145239582338870417,0.23133054925705806302
