conference,team,offense.overall,defense.overall
Big 12,Texas,0.29550198032243112661,0.19938030632752273246
SEC,Texas A&M,0.19582649277876424303,0.11826997341175892461
Sun Belt,Texas State,0.03422825761476562622,0.23102213313177187470
Big 12,Texas Tech,0.18360496442006284278,0.22644273482154377853
Mid-American,Toledo,0.22479361844905675435,0.28129776483757084324
Sun Belt,Troy,0.21390682470218071492,0.22956540807841948430
American Athletic,Tulane,0.23667398350268092056,0.14521697054998925959
American Athletic,Tulsa,0.14542447055974686496,0.17030900265504840727
Conference USA,UAB,0.07672347023671815891,0.03854131709954028986
American Athletic,UCF,0.29194621387221257745,0.05593439239082641496
Pac-12,UCLA,0.15199435579694552492,0.33222062335081146995
FBS Independents,UMass,0.00114981947714154003,0.42910570567499401835
Mountain West,UNLV,0.13516681242337949140,0.21845608481092939109
Pac-12,USC,0.26453720502530170078,0.21408468563160217728
Pac-12,Utah,0.29825585180333170978,0.01134478984566828242
Mountain West,Utah State,0.15476313413771426769,0.19413445820065203859
Conference USA,UTEP,0.13564003213482268940,0.32278992590411891377
Conference USA,UT San Antonio,0.11504449350465448789,0.22424928800758881163
SEC,Vanderbilt,0.03933158991538071887,0.23042627558961647366
ACC,Virginia,0.16730845260511854063,0.18454433296245082750
ACC,Virginia Tech,0.18625400384263387239,0.10773929690942988806
ACC,Wake Forest,0.16443286967207220521,0.18272867983753696448
Pac-12,Washington,0.21983293064948755453,0.08418451697395993293
Pac-12,Washington State,0.25711679888502461073,0.25666513587854288466
Conference USA,Western Kentucky,0.14566139575936005219,0.10551444554108698344
Mid-American,Western Michigan,0.25260762122035422564,0.15159191283700440260
Big 12,West Virginia,0.07188740920225324162,0.17497420273708379686
Big Ten,Wisconsin,0.29545450291235120260,0.04034331197509136799
Mountain West,Wyoming,0.15404792216370186251,0.06159239137956245984
