team,year,rank,points,year,rank,points,year,rank,points,year,rank,points,year,total.games,total.wins,total.losses,total.ties,total.games,total.wins,total.losses,total.ties,total.games,total.wins,total.losses,total.ties,total.games,total.wins,total.losses,total.ties,season,totalPPA,percentPPA
Mississippi State,2014,36,199.92,2015,18,237.46,2016,28,211.11,2017,24,220.22,2014,13,10,3,0,13,9,4,0,13,6,7,0,13,9,4,0,2018,258.8,0.866
Missouri,2014,37,198.53,2015,25,217.98,2016,43,188.37,2017,43,187.71,2014,14,11,3,0,12,5,7,0,12,4,8,0,13,7,6,0,2018,448.1,0.769
Washington,2014,38,198.52,2015,26,215.83,2016,29,209.87,2017,22,224.74,2014,14,8,6,0,13,7,6,0,14,12,2,0,13,10,3,0,2018,336.0,0.783
West Virginia,2014,39,194.85,2015,35,198.02,2016,39,194.45,2017,57,174.68,2014,13,7,6,0,13,8,5,0,13,10,3,0,13,7,6,0,2018,201.7,0.64
Texas Tech,2014,40,191.82,2015,32,203.18,2016,44,184.64,2017,49,183.07,2014,12,4,8,0,13,7,6,0,12,5,7,0,13,6,7,0,2018,78.0,0.153
Maryland,2014,41,190.98,2015,47,182.31,2016,41,190.15,2017,18,230.17,2014,13,7,6,0,12,3,9,0,13,6,7,0,12,4,8,0,2018,120.6,0.678
South Florida,2014,42,189.74,2015,66,163.15,2016,66,161.21,2017,76,150.65,2014,12,4,8,0,13,8,5,0,13,11,2,0,12,10,2,0,2018,126.2,0.287
TCU,2014,43,188.64,2015,39,191.44,2016,21,235.79,2017,28,210.03,2014,13,12,1,0,13,11,2,0,13,6,7,0,14,11,3,0,2018,198.1,0.411
Pittsburgh,2014,44,187.66,2015,46,183.18,2016,30,209.23,2017,37,202.12,2014,13,6,7,0,13,8,5,0,13,8,5,0,12,5,7,0,2018,152.9,0.503
Louisville,2014,45,183.64,2015,33,201.4,2016,38,196.02,2017,34,205.15,2014,13,9,4,0,13,8,5,0,13,9,4,0,13,8,5,0,2018,224.8,0.377
Vanderbilt,2014,46,183.05,2015,49,181.37,2016,54,171.54,2017,65,167.42,2014,12,3,9,0,12,4,8,0,13,6,7,0,12,5,7,0,2018,215.0,0.611
Northwestern,2014,47,182.68,2015,55,174.83,2016,52,174.91,2017,50,182.07,2014,12,5,7,0,13,10,3,0,13,7,6,0,13,10,3,0,2018,212.8,0.643
Indiana,2014,48,180.46,2015,53,175.35,2016,53,172.23,2017,62,167.99,2014,12,4,8,0,13,6,7,0,13,6,7,0,12,5,7,0,2018,94.9,0.3
Kansas State,2014,49,178.29,2015,54,175.02,2016,72,155.49,2017,61,169.37,2014,13,9,4,0,13,6,7,0,13,9,4,0,13,8,5,0,2018,180.2,0.57
Kansas,2014,50,177.14,2015,73,153.94,2016,70,159.19,2017,71,159.35,2014,12,3,9,0,12,0,12,0,12,2,10,0,12,1,11,0,2018,146.3,0.856
Boston College,2014,51,177.12,2015,60,169.45,2016,78,146.69,2017,67,162.61,2014,13,7,6,0,12,3,9,0,13,7,6,0,13,7,6,0,2018,167.0,0.777
Syracuse,2014,52,176.87,2015,57,172.06,2016,62,165.15,2017,54,180.08,2014,12,3,9,0,12,4,8,0,12,4,8,0,12,4,8,0,2018,179.3,0.573
Washington State,2014,53,176.62,2015,42,188.41,2016,56,169.74,2017,44,186.45,2014,12,3,9,0,13,9,4,0,13,8,5,0,13,9,4,0,2018,215.1,0.481
Georgia Tech,2014,54,175.71,2015,44,185.45,2016,60,167.13,2017,48,184.4,2014,14,11,3,0,12,3,9,0,13,9,4,0,11,5,6,0,2018,163.2,0.742
California,2014,55,174.52,2015,34,198.77,2016,31,207.8,2017,70,159.53,2014,12,5,7,0,13,8,5,0,12,5,7,0,12,5,7,0,2018,293.5,0.871
Rutgers,2014,56,174.14,2015,56,172.19,2016,64,163.8,2017,42,189.01,2014,13,8,5,0,12,4,8,0,12,2,10,0,12,4,8,0,2018,55.5,0.466
Minnesota,2014,57,172.32,2015,63,167.01,2016,46,182.22,2017,59,171.42,2014,13,8,5,0,13,6,7,0,13,9,4,0,12,5,7,0,2018,96.9,0.507
Iowa,2014,58,171.84,2015,59,169.99,2016,47,181.39,2017,41,191.44,2014,13,7,6,0,14,12,2,0,13,8,5,0,13,8,5,0,2018,252.9,0.824
Iowa State,2014,59,171.65,2015,64,166.5,2016,55,170.58,2017,52,180.53,2014,12,2,10,0,12,3,9,0,12,3,9,0,13,8,5,0,2018,248.9,0.567
Oregon State,2014,60,166.96,2015,61,167.89,2016,58,169.17,2017,51,181.32,2014,12,5,7,0,12,2,10,0,12,4,8,0,12,1,11,0,2018,135.8,0.505
Duke,2014,61,166.35,2015,52,175.77,2016,33,204.67,2017,47,184.46,2014,13,9,4,0,13,8,5,0,12,4,8,0,13,7,6,0,2018,224.9,0.849
Marshall,2014,62,165.64,2015,75,149.98,2016,51,176.55,2017,87,132.84,2014,14,13,1,0,13,10,3,0,12,3,9,0,13,8,5,0,2018,161.3,0.474
Boise State,2014,63,163.09,2015,58,171.68,2016,68,160.66,2017,64,167.43,2014,14,12,2,0,13,9,4,0,13,10,3,0,14,11,3,0,2018,241.9,0.533
