year,team,total.games,total.wins,total.losses,total.ties
2019,Air Force,13,11,2,0
2019,Akron,12,0,12,0
2019,Alabama,13,11,2,0
2019,Appalachian State,14,13,1,0
2019,Arizona,12,4,8,0
2019,Arizona State,13,8,5,0
2019,Arkansas,12,2,10,0
2019,Arkansas State,13,8,5,0
2019,Army,13,5,8,0
2019,Auburn,13,9,4,0
2019,Ball State,12,5,7,0
2019,Baylor,14,11,3,0
2019,Boise State,14,12,2,0
2019,Boston College,13,6,7,0
2019,Bowling Green,12,3,9,0
2019,Buffalo,13,8,5,0
2019,BYU,13,7,6,0
2019,California,13,8,5,0
2019,Central Michigan,14,8,6,0
2019,Charlotte,13,7,6,0
2019,Cincinnati,14,11,3,0
2019,Clemson,15,14,1,0
2019,Coastal Carolina,12,5,7,0
2019,Colorado,12,5,7,0
2019,Colorado State,12,4,8,0
2019,Connecticut,12,2,10,0
2019,Duke,12,5,7,0
2019,East Carolina,12,4,8,0
2019,Eastern Michigan,13,6,7,0
2019,Florida,13,11,2,0
2019,Florida Atlantic,14,11,3,0
2019,Florida International,13,6,7,0
2019,Florida State,13,6,7,0
2019,Fresno State,12,4,8,0
2019,Georgia,14,12,2,0
2019,Georgia Southern,13,7,6,0
2019,Georgia State,13,7,6,0
2019,Georgia Tech,12,3,9,0
2019,Hawai'i,15,10,5,0
2019,Houston,12,4,8,0
2019,Illinois,13,6,7,0
2019,Indiana,13,8,5,0
2019,Iowa,13,10,3,0
2019,Iowa State,13,7,6,0
2019,Kansas,12,3,9,0
2019,Kansas State,13,8,5,0
2019,Kent State,13,7,6,0
2019,Kentucky,13,8,5,0
2019,Liberty,13,8,5,0
2019,Louisiana,14,11,3,0
2019,Louisiana Monroe,12,5,7,0
2019,Louisiana Tech,13,10,3,0
2019,Louisville,13,8,5,0
2019,LSU,15,15,0,0
2019,Marshall,13,8,5,0
2019,Maryland,12,3,9,0
2019,Memphis,14,12,2,0
2019,Miami,13,6,7,0
2019,Miami (OH),14,8,6,0
2019,Michigan,13,9,4,0
2019,Michigan State,13,7,6,0
2019,Middle Tennessee,12,4,8,0
2019,Minnesota,13,11,2,0
2019,Mississippi State,13,6,7,0
2019,Missouri,12,6,6,0
2019,Navy,13,11,2,0
2019,NC State,12,4,8,0
2019,Nebraska,12,5,7,0
2019,Nevada,13,7,6,0
2019,New Mexico,12,2,10,0
2019,New Mexico State,12,2,10,0
2019,North Carolina,13,7,6,0
2019,Northern Illinois,12,5,7,0
2019,North Texas,12,4,8,0
2019,Northwestern,12,3,9,0
2019,Notre Dame,13,11,2,0
2019,Ohio,13,7,6,0
2019,Ohio State,14,13,1,0
2019,Oklahoma,14,12,2,0
2019,Oklahoma State,13,8,5,0
2019,Old Dominion,12,1,11,0
2019,Ole Miss,12,4,8,0
2019,Oregon,14,12,2,0
2019,Oregon State,12,5,7,0
2019,Penn State,13,11,2,0
2019,Pittsburgh,13,8,5,0
2019,Purdue,12,4,8,0
2019,Rice,12,3,9,0
2019,Rutgers,12,2,10,0
2019,San Diego State,13,10,3,0
2019,San José State,12,5,7,0
2019,SMU,13,10,3,0
2019,South Alabama,12,2,10,0
2019,South Carolina,12,4,8,0
2019,Southern Mississippi,13,7,6,0
2019,South Florida,12,4,8,0
2019,Stanford,12,4,8,0
2019,Syracuse,12,5,7,0
2019,TCU,12,5,7,0
2019,Temple,13,8,5,0
2019,Tennessee,13,8,5,0
2019,Texas,13,8,5,0
2019,Texas A&M,13,8,5,0
2019,Texas State,12,3,9,0
2019,Texas Tech,12,4,8,0
2019,Toledo,12,6,6,0
2019,Troy,12,5,7,0
2019,Tulane,13,7,6,0
2019,Tulsa,12,4,8,0
2019,UAB,14,9,5,0
2019,UCF,13,10,3,0
2019,UCLA,12,4,8,0
2019,UMass,12,1,11,0
2019,UNLV,12,4,8,0
2019,USC,13,8,5,0
2019,Utah,14,11,3,0
2019,Utah State,13,7,6,0
2019,UTEP,12,1,11,0
2019,UT San Antonio,12,4,8,0
2019,Vanderbilt,12,3,9,0
2019,Virginia,14,9,5,0
2019,Virginia Tech,13,8,5,0
2019,Wake Forest,13,8,5,0
2019,Washington,13,8,5,0
2019,Washington State,13,6,7,0
2019,Western Kentucky,13,9,4,0
2019,Western Michigan,13,7,6,0
2019,West Virginia,12,5,7,0
2019,Wisconsin,14,10,4,0
2019,Wyoming,13,8,5,0
