team,total.games,total.wins,total.losses,total.ties
Air Force,12,5,7,0
Akron,14,7,7,0
Alabama,14,13,1,0
Appalachian State,13,9,4,0
Arizona,13,7,6,0
Arizona State,13,7,6,0
Arkansas,12,4,8,0
Arkansas State,12,7,5,0
Army,13,10,3,0
Auburn,14,10,4,0
Ball State,12,2,10,0
Baylor,12,1,11,0
Boise State,14,11,3,0
Boston College,13,7,6,0
Bowling Green,12,2,10,0
Buffalo,12,6,6,0
BYU,13,4,9,0
California,12,5,7,0
Central Michigan,13,8,5,0
Charlotte,12,1,11,0
Cincinnati,12,4,8,0
Clemson,14,12,2,0
Coastal Carolina,12,3,9,0
Colorado,12,5,7,0
Colorado State,13,7,6,0
Connecticut,12,3,9,0
Duke,13,7,6,0
East Carolina,12,3,9,0
Eastern Michigan,12,5,7,0
Florida,11,4,7,0
Florida Atlantic,14,11,3,0
Florida International,13,8,5,0
Florida State,13,7,6,0
Fresno State,14,10,4,0
Georgia,15,13,2,0
Georgia Southern,12,2,10,0
Georgia State,12,7,5,0
Georgia Tech,11,5,6,0
Hawai'i,12,3,9,0
Houston,12,7,5,0
Idaho,12,4,8,0
Illinois,12,2,10,0
Indiana,12,5,7,0
Iowa,13,8,5,0
Iowa State,13,8,5,0
Kansas,12,1,11,0
Kansas State,13,8,5,0
Kent State,12,2,10,0
Kentucky,13,7,6,0
Louisiana,12,5,7,0
Louisiana Monroe,12,4,8,0
Louisiana Tech,13,7,6,0
Louisville,13,8,5,0
LSU,13,9,4,0
Marshall,13,8,5,0
Maryland,12,4,8,0
Memphis,13,10,3,0
Miami,13,10,3,0
Miami (OH),12,5,7,0
Michigan,13,8,5,0
Michigan State,13,10,3,0
Middle Tennessee,13,7,6,0
Minnesota,12,5,7,0
Mississippi State,13,9,4,0
Missouri,13,7,6,0
Navy,13,7,6,0
NC State,13,9,4,0
Nebraska,12,4,8,0
Nevada,12,3,9,0
New Mexico,12,3,9,0
New Mexico State,13,7,6,0
North Carolina,12,3,9,0
Northern Illinois,13,8,5,0
North Texas,14,9,5,0
Northwestern,13,10,3,0
Notre Dame,13,10,3,0
Ohio,13,9,4,0
Ohio State,14,12,2,0
Oklahoma,14,12,2,0
Oklahoma State,13,10,3,0
Old Dominion,12,5,7,0
Ole Miss,12,6,6,0
Oregon,13,7,6,0
Oregon State,12,1,11,0
Penn State,13,11,2,0
Pittsburgh,12,5,7,0
Purdue,13,7,6,0
Rice,12,1,11,0
Rutgers,12,4,8,0
San Diego State,13,10,3,0
San José State,13,2,11,0
SMU,13,7,6,0
South Alabama,12,4,8,0
South Carolina,13,9,4,0
Southern Mississippi,13,8,5,0
South Florida,12,10,2,0
Stanford,14,9,5,0
Syracuse,12,4,8,0
TCU,14,11,3,0
Temple,13,7,6,0
Tennessee,12,4,8,0
Texas,13,7,6,0
Texas A&M,13,7,6,0
Texas State,12,2,10,0
Texas Tech,13,6,7,0
Toledo,14,11,3,0
Troy,13,11,2,0
Tulane,12,5,7,0
Tulsa,12,2,10,0
UAB,13,8,5,0
UCF,13,13,0,0
UCLA,13,6,7,0
UMass,12,4,8,0
UNLV,12,5,7,0
USC,14,11,3,0
Utah,13,7,6,0
Utah State,13,6,7,0
UTEP,12,0,12,0
UT San Antonio,11,6,5,0
Vanderbilt,12,5,7,0
Virginia,13,6,7,0
Virginia Tech,13,9,4,0
Wake Forest,13,8,5,0
Washington,13,10,3,0
Washington State,13,9,4,0
Western Kentucky,13,6,7,0
Western Michigan,12,6,6,0
West Virginia,13,7,6,0
Wisconsin,14,13,1,0
Wyoming,13,8,5,0
