team,total.games,total.wins,total.losses,total.ties
Air Force,12,5,7,0
Akron,12,4,8,0
Alabama,15,14,1,0
Appalachian State,13,11,2,0
Arizona,12,5,7,0
Arizona State,13,7,6,0
Arkansas,12,2,10,0
Arkansas State,13,8,5,0
Army,13,11,2,0
Auburn,13,8,5,0
Ball State,12,4,8,0
Baylor,13,7,6,0
Boise State,13,10,3,0
Boston College,12,7,5,0
Bowling Green,12,3,9,0
Buffalo,14,10,4,0
BYU,13,7,6,0
California,13,7,6,0
Central Michigan,12,1,11,0
Charlotte,12,5,7,0
Cincinnati,13,11,2,0
Clemson,15,15,0,0
Coastal Carolina,12,5,7,0
Colorado,12,5,7,0
Colorado State,12,3,9,0
Connecticut,12,1,11,0
Duke,13,8,5,0
East Carolina,12,3,9,0
Eastern Michigan,13,7,6,0
Florida,13,10,3,0
Florida Atlantic,12,5,7,0
Florida International,13,9,4,0
Florida State,12,5,7,0
Fresno State,14,12,2,0
Georgia,14,11,3,0
Georgia Southern,13,10,3,0
Georgia State,12,2,10,0
Georgia Tech,13,7,6,0
Hawai'i,14,8,6,0
Houston,13,8,5,0
Illinois,12,4,8,0
Indiana,12,5,7,0
Iowa,13,9,4,0
Iowa State,13,8,5,0
Kansas,12,3,9,0
Kansas State,12,5,7,0
Kent State,12,2,10,0
Kentucky,13,9,4,0
Liberty,12,6,6,0
Louisiana,14,7,7,0
Louisiana Monroe,12,6,6,0
Louisiana Tech,13,8,5,0
Louisville,12,2,10,0
LSU,13,10,3,0
Marshall,13,9,4,0
Maryland,12,5,7,0
Memphis,14,8,6,0
Miami,13,7,6,0
Miami (OH),12,6,6,0
Michigan,13,10,3,0
Michigan State,13,7,6,0
Middle Tennessee,14,8,6,0
Minnesota,13,7,6,0
Mississippi State,13,8,5,0
Missouri,13,9,4,0
Navy,13,3,10,0
NC State,13,9,4,0
Nebraska,12,4,8,0
Nevada,13,8,5,0
New Mexico,12,3,9,0
New Mexico State,12,3,9,0
North Carolina,11,2,9,0
Northern Illinois,14,8,6,0
North Texas,13,9,4,0
Northwestern,14,9,5,0
Notre Dame,13,12,1,0
Ohio,13,9,4,0
Ohio State,14,13,1,0
Oklahoma,14,12,2,0
Oklahoma State,13,7,6,0
Old Dominion,12,4,8,0
Ole Miss,12,5,7,0
Oregon,13,9,4,0
Oregon State,12,2,10,0
Penn State,13,9,4,0
Pittsburgh,14,7,7,0
Purdue,13,6,7,0
Rice,13,2,11,0
Rutgers,12,1,11,0
San Diego State,13,7,6,0
San José State,12,1,11,0
SMU,12,5,7,0
South Alabama,12,3,9,0
South Carolina,13,7,6,0
Southern Mississippi,11,6,5,0
South Florida,13,7,6,0
Stanford,13,9,4,0
Syracuse,13,10,3,0
TCU,13,7,6,0
Temple,13,8,5,0
Tennessee,12,5,7,0
Texas,14,10,4,0
Texas A&M,13,9,4,0
Texas State,12,3,9,0
Texas Tech,12,5,7,0
Toledo,13,7,6,0
Troy,13,10,3,0
Tulane,13,7,6,0
Tulsa,12,3,9,0
UAB,14,11,3,0
UCF,13,12,1,0
UCLA,12,3,9,0
UMass,12,4,8,0
UNLV,12,4,8,0
USC,12,5,7,0
Utah,14,9,5,0
Utah State,13,11,2,0
UTEP,12,1,11,0
UT San Antonio,12,3,9,0
Vanderbilt,13,6,7,0
Virginia,13,8,5,0
Virginia Tech,13,6,7,0
Wake Forest,13,7,6,0
Washington,14,10,4,0
Washington State,13,11,2,0
Western Kentucky,12,3,9,0
Western Michigan,13,7,6,0
West Virginia,12,8,4,0
Wisconsin,13,8,5,0
Wyoming,12,6,6,0
