id,week,home_id,home_team,home_points,away_id,away_team,away_points
401013322,2,2641,Texas Tech,77,2320,Lamar,0
401012733,2,264,Washington,45,155,North Dakota,3
401012863,2,2294,Iowa,13,66,Iowa State,3
401013358,2,290,Georgia Southern,34,113,UMass,13
401014981,2,2429,Charlotte,9,2026,Appalachian State,45
401012873,2,189,Bowling Green,14,120,Maryland,45
401013326,2,277,West Virginia,52,2754,Youngstown State,17
401013102,2,2390,Miami,77,2542,Savannah State,0
401019481,2,2116,UCF,38,2569,South Carolina State,0
401014985,2,276,Marshall,32,2198,Eastern Kentucky,16
401012264,2,99,LSU,31,2545,Southeastern Louisiana,0
401021658,2,2653,Troy,59,50,Florida A&M,7
401014986,2,2393,Middle Tennessee,61,2630,UT Martin,37
401013101,2,97,Louisville,31,282,Indiana State,7
401014984,2,2348,Louisiana Tech,54,2582,Southern,17
401021657,2,326,Texas State,36,2640,Texas Southern,20
401014990,2,324,Coastal Carolina,47,5,UAB,24
401012267,2,142,Missouri,40,2751,Wyoming,13
401014989,2,2572,Southern Mississippi,20,2433,Louisiana Monroe,21
401013027,2,2636,UT San Antonio,20,239,Baylor,37
401012270,2,245,Texas A&M,26,228,Clemson,28
401013099,2,52,Florida State,36,2535,Samford,26
401012805,2,356,Illinois,34,2710,Western Illinois,14
401014987,2,249,North Texas,58,2916,Incarnate Word,16
401014992,2,98,Western Kentucky,28,311,Maine,31
401012262,2,2,Auburn,63,2011,Alabama State,9
401012730,2,2459,Northern Illinois,6,254,Utah,17
401013329,2,135,Minnesota,21,278,Fresno State,14
401014982,2,295,Old Dominion,20,2229,Florida International,28
401012263,2,57,Florida,16,96,Kentucky,27
401012852,2,84,Indiana,20,258,Virginia,16
401012261,2,36,Colorado State,34,8,Arkansas,27
401013490,2,197,Oklahoma State,55,6,South Alabama,13
401019482,2,193,Miami (OH),0,2132,Cincinnati,21
401013319,2,251,Texas,28,202,Tulsa,21
401013438,2,328,Utah State,60,166,New Mexico State,13
401013105,2,221,Pittsburgh,6,213,Penn State,51
401019480,2,2655,Tulane,42,2447,Nicholls,17
401012732,2,204,Oregon State,48,253,Southern Utah,25
401012736,2,24,Stanford,17,30,USC,3
401014991,2,2439,UNLV,52,2638,UTEP,24
401022518,2,21,San Diego State,28,16,Sacramento State,14
401012735,2,252,BYU,18,25,California,21
401019483,2,68,Boise State,62,41,Connecticut,7
401012727,2,9,Arizona State,16,127,Michigan State,13
401012734,2,265,Washington State,31,23,San José State,0
401014988,2,62,Hawai'i,43,242,Rice,29
401021659,3,2097,Campbell,21,324,Coastal Carolina,58
401014993,3,2429,Charlotte,28,295,Old Dominion,25
401013109,3,154,Wake Forest,34,103,Boston College,41
401022519,3,328,Utah State,73,2635,Tennessee Tech,12
401019484,3,235,Memphis,59,2247,Georgia State,22
401012853,3,84,Indiana,38,2050,Ball State,10
401012275,3,61,Georgia,49,2393,Middle Tennessee,7
401012281,3,2633,Tennessee,24,2638,UTEP,0
401013368,3,349,Army,28,62,Hawai'i,21
401013114,3,2649,Toledo,24,2390,Miami,49
401012822,3,2305,Kansas,55,164,Rutgers,14
401013350,3,213,Penn State,63,2309,Kent State,10
401013039,3,66,Iowa State,27,201,Oklahoma,37
401013337,3,158,Nebraska,19,2653,Troy,24
401013110,3,228,Clemson,38,290,Georgia Southern,7
401012874,3,120,Maryland,14,218,Temple,35
401013111,3,183,Syracuse,30,52,Florida State,7
401019486,3,41,Connecticut,56,227,Rhode Island,49
401012276,3,96,Kentucky,48,93,Murray State,10
401013112,3,221,Pittsburgh,24,59,Georgia Tech,19
401014996,3,5,UAB,31,2655,Tulane,24
401012747,3,24,Stanford,30,302,UC Davis,10
401012283,3,87,Notre Dame,22,238,Vanderbilt,17
401012273,3,2,Auburn,21,99,LSU,22
401013491,3,197,Oklahoma State,44,68,Boise State,21
401012806,3,356,Illinois,19,58,South Florida,25
401013028,3,239,Baylor,27,150,Duke,40
401013356,3,275,Wisconsin,21,252,BYU,24
401020679,3,2459,Northern Illinois,24,2117,Central Michigan,16
401012890,3,130,Michigan,45,2567,SMU,20
401013330,3,135,Minnesota,26,193,Miami (OH),3
401019487,3,2426,Navy,51,2329,Lehigh,21
401012274,3,57,Florida,48,36,Colorado State,10
401020681,3,189,Bowling Green,42,2198,Eastern Kentucky,35
401022520,3,2751,Wyoming,17,2747,Wofford,14
401012272,3,8,Arkansas,17,249,North Texas,44
401013058,3,2306,Kansas State,41,2636,UT San Antonio,17
401013323,3,2641,Texas Tech,63,248,Houston,49
401013117,3,258,Virginia,45,195,Ohio,31
401012743,3,2483,Oregon,35,23,San José State,22
401012741,3,38,Colorado,45,160,New Hampshire,14
401020682,3,2084,Buffalo,35,2199,Eastern Michigan,28
401012746,3,25,California,45,304,Idaho State,23
401014994,3,2226,Florida Atlantic,49,2065,Bethune-Cookman,28
401019488,3,202,Tulsa,20,2032,Arkansas State,29
401021660,3,6,South Alabama,41,326,Texas State,31
401020680,3,2711,Western Michigan,68,2169,Delaware State,0
401012277,3,145,Ole Miss,7,333,Alabama,62
401019485,3,2132,Cincinnati,63,2010,Alabama A&M,7
401012744,3,2440,Nevada,37,204,Oregon State,35
401013343,3,77,Northwestern,34,2006,Akron,39
401012864,3,2294,Iowa,38,2460,Northern Iowa,14
401012278,3,344,Mississippi State,56,309,Louisiana,10
401012279,3,2509,Purdue,37,142,Missouri,40
401013113,3,97,Louisville,20,98,Western Kentucky,17
401013359,3,2229,Florida International,63,113,UMass,24
401012282,3,245,Texas A&M,48,2433,Louisiana Monroe,10
401013074,3,2628,TCU,28,194,Ohio State,40
401012745,3,265,Washington State,59,331,Eastern Washington,24
