year,team,conference,expectedWins,total.games,total.wins,total.losses,total.ties
2018,Minnesota,Big Ten,7.1,13,7,6,0
2018,Mississippi State,SEC,8.7,13,8,5,0
2018,Missouri,SEC,9.7,13,9,4,0
2018,Navy,American Athletic,4.1,13,3,10,0
2018,NC State,ACC,8.7,13,9,4,0
2018,Nebraska,Big Ten,6.8,12,4,8,0
2018,Nevada,Mountain West,6.5,13,8,5,0
2018,New Mexico,Mountain West,3.8,12,3,9,0
2018,New Mexico State,FBS Independents,2.3,12,3,9,0
2018,North Carolina,ACC,3.6,11,2,9,0
2018,Northern Illinois,Mid-American,6.5,14,8,6,0
2018,North Texas,Conference USA,9.2,13,9,4,0
2018,Northwestern,Big Ten,8.3,14,9,5,0
2018,Notre Dame,FBS Independents,10.5,13,12,1,0
2018,Ohio,Mid-American,8.7,13,9,4,0
2018,Ohio State,Big Ten,10.3,14,13,1,0
2018,Oklahoma,Big 12,11.5,14,12,2,0
2018,Oklahoma State,Big 12,8.5,13,7,6,0
2018,Old Dominion,Conference USA,4.4,12,4,8,0
2018,Ole Miss,SEC,6.5,12,5,7,0
2018,Oregon,Pac-12,7.5,13,9,4,0
2018,Oregon State,Pac-12,2.7,12,2,10,0
2018,Penn State,Big Ten,10.6,13,9,4,0
2018,Pittsburgh,ACC,6.4,14,7,7,0
2018,Purdue,Big Ten,6.8,13,6,7,0
2018,Rice,Conference USA,1.4,13,2,11,0
2018,Rutgers,Big Ten,1.2,12,1,11,0
2018,San Diego State,Mountain West,7.1,13,7,6,0
2018,San José State,Mountain West,1.7,12,1,11,0
2018,SMU,American Athletic,3.7,12,5,7,0
2018,South Alabama,Sun Belt,2.9,12,3,9,0
2018,South Carolina,SEC,5.6,13,7,6,0
2018,Southern Mississippi,Conference USA,5.6,11,6,5,0
2018,South Florida,American Athletic,5.3,13,7,6,0
2018,Stanford,Pac-12,7.4,13,9,4,0
2018,Syracuse,ACC,10.5,13,10,3,0
2018,TCU,Big 12,5.6,13,7,6,0
2018,Temple,American Athletic,7.2,13,8,5,0
2018,Tennessee,SEC,4.4,12,5,7,0
2018,Texas,Big 12,9.3,14,10,4,0
2018,Texas A&M,SEC,9.2,13,9,4,0
2018,Texas State,Sun Belt,5,12,3,9,0
2018,Texas Tech,Big 12,4.8,12,5,7,0
2018,Toledo,Mid-American,7,13,7,6,0
2018,Troy,Sun Belt,8.6,13,10,3,0
2018,Tulane,American Athletic,7.4,13,7,6,0
2018,Tulsa,American Athletic,3.6,12,3,9,0
2018,UAB,Conference USA,10.3,14,11,3,0
2018,UCF,American Athletic,10.8,13,12,1,0
2018,UCLA,Pac-12,4,12,3,9,0
2018,UMass,FBS Independents,4.5,12,4,8,0
2018,UNLV,Mountain West,3.7,12,4,8,0
2018,USC,Pac-12,6.4,12,5,7,0
2018,Utah,Pac-12,9.2,14,9,5,0
2018,Utah State,Mountain West,10.1,13,11,2,0
2018,UTEP,Conference USA,2.6,12,1,11,0
2018,UT San Antonio,Conference USA,2.6,12,3,9,0
2018,Vanderbilt,SEC,5.6,13,6,7,0
2018,Virginia,ACC,9.4,13,8,5,0
2018,Virginia Tech,ACC,4.6,13,6,7,0
2018,Wake Forest,ACC,6.6,13,7,6,0
2018,Washington,Pac-12,11.2,14,10,4,0
2018,Washington State,Pac-12,9.9,13,11,2,0
2018,Western Kentucky,Conference USA,4.2,12,3,9,0
2018,Western Michigan,Mid-American,7.5,13,7,6,0
2018,West Virginia,Big 12,7.4,12,8,4,0
2018,Wisconsin,Big Ten,8.1,13,8,5,0
2018,Wyoming,Mountain West,6.2,12,6,6,0
