year,team,conference,expectedWins,total.games,total.wins,total.losses,total.ties
2018,Air Force,Mountain West,6.4,12,5,7,0
2018,Akron,Mid-American,2.9,12,4,8,0
2018,Alabama,SEC,13.5,15,14,1,0
2018,Appalachian State,Sun Belt,10.9,13,11,2,0
2018,Arizona,Pac-12,6.4,12,5,7,0
2018,Arizona State,Pac-12,5.6,13,7,6,0
2018,Arkansas,SEC,3.2,12,2,10,0
2018,Arkansas State,Sun Belt,8.7,13,8,5,0
2018,Army,FBS Independents,9.6,13,11,2,0
2018,Auburn,SEC,8.6,13,8,5,0
2018,Ball State,Mid-American,3.9,12,4,8,0
2018,Baylor,Big 12,6.9,13,7,6,0
2018,Boise State,Mountain West,8.8,13,10,3,0
2018,Boston College,ACC,7.5,12,7,5,0
2018,Bowling Green,Mid-American,2.8,12,3,9,0
2018,Buffalo,Mid-American,10.9,14,10,4,0
2018,BYU,FBS Independents,8.3,13,7,6,0
2018,California,Pac-12,6.3,13,7,6,0
2018,Central Michigan,Mid-American,1.8,12,1,11,0
2018,Charlotte,Conference USA,5.7,12,5,7,0
2018,Cincinnati,American Athletic,10.3,13,11,2,0
2018,Clemson,ACC,13.9,15,15,0,0
2018,Coastal Carolina,Sun Belt,4.7,12,5,7,0
2018,Colorado,Pac-12,5.3,12,5,7,0
2018,Colorado State,Mountain West,3.1,12,3,9,0
2018,Connecticut,American Athletic,1.1,12,1,11,0
2018,Duke,ACC,7.4,13,8,5,0
2018,East Carolina,American Athletic,4.7,12,3,9,0
2018,Eastern Michigan,Mid-American,7.8,13,7,6,0
2018,Florida,SEC,9.6,13,10,3,0
2018,Florida Atlantic,Conference USA,6,12,5,7,0
2018,Florida International,Conference USA,9.4,13,9,4,0
2018,Florida State,ACC,4,12,5,7,0
2018,Fresno State,Mountain West,11.9,14,12,2,0
2018,Georgia,SEC,11.6,14,11,3,0
2018,Georgia Southern,Sun Belt,8.4,13,10,3,0
2018,Georgia State,Sun Belt,2.3,12,2,10,0
2018,Georgia Tech,ACC,6.8,13,7,6,0
2018,Hawai'i,Mountain West,7.4,14,8,6,0
2018,Houston,American Athletic,7.9,13,8,5,0
2018,Illinois,Big Ten,4.1,12,4,8,0
2018,Indiana,Big Ten,5,12,5,7,0
2018,Iowa,Big Ten,8.6,13,9,4,0
2018,Iowa State,Big 12,8.4,13,8,5,0
2018,Kansas,Big 12,2.8,12,3,9,0
2018,Kansas State,Big 12,5.6,12,5,7,0
2018,Kent State,Mid-American,3.3,12,2,10,0
2018,Kentucky,SEC,7.6,13,9,4,0
2018,Liberty,FBS Independents,5,12,6,6,0
2018,Louisiana,Sun Belt,5.5,14,7,7,0
2018,Louisiana Monroe,Sun Belt,5.9,12,6,6,0
2018,Louisiana Tech,Conference USA,7,13,8,5,0
2018,Louisville,ACC,2.2,12,2,10,0
2018,LSU,SEC,9.8,13,10,3,0
2018,Marshall,Conference USA,8.5,13,9,4,0
2018,Maryland,Big Ten,6,12,5,7,0
2018,Memphis,American Athletic,9.1,14,8,6,0
2018,Miami,ACC,8.2,13,7,6,0
2018,Miami (OH),Mid-American,6.1,12,6,6,0
2018,Michigan,Big Ten,9.6,13,10,3,0
2018,Michigan State,Big Ten,7.2,13,7,6,0
2018,Middle Tennessee,Conference USA,6.8,14,8,6,0
