id,home_id,home_team,home_points,away_id,away_team,away_points,week
401110773,333,Alabama,62,166,New Mexico State,10,2
401112074,239,Baylor,63,2636,UT San Antonio,14,2
401117498,36,Colorado State,38,2710,Western Illinois,13,2
401114214,26,UCLA,14,21,San Diego State,23,2
401114229,265,Washington State,59,2458,Northern Colorado,17,2
401112440,52,Florida State,45,2433,Louisiana Monroe,44,2
401112439,150,Duke,45,2448,North Carolina A&T,13,2
401121936,290,Georgia Southern,26,311,Maine,18,2
401117860,151,East Carolina,48,2241,Gardner-Webb,9,2
401114249,2226,Florida Atlantic,14,2116,UCF,48,2
401121937,2247,Georgia State,48,231,Furman,42,2
401114252,2393,Middle Tennessee,45,2634,Tennessee State,26,2
401112115,201,Oklahoma,70,233,South Dakota,14,2
401112123,197,Oklahoma State,56,2377,McNeese,14,2
401114253,2567,SMU,49,249,North Texas,27,2
401121938,6,South Alabama,37,2296,Jackson State,14,2
401114248,2229,Florida International,14,98,Western Kentucky,20,2
401112097,2305,Kansas,7,324,Coastal Carolina,12,2
401117500,326,Texas State,14,2751,Wyoming,23,2
401110783,2633,Tennessee,26,252,BYU,29,2
401112442,97,Louisville,42,2198,Eastern Kentucky,0,2
401114347,309,Louisiana,35,2335,Liberty,14,2
401110777,96,Kentucky,38,2199,Eastern Michigan,17,2
401117499,328,Utah State,62,2619,Stony Brook,7,2
401112213,127,Michigan State,51,2711,Western Michigan,17,2
401110779,145,Ole Miss,31,8,Arkansas,17,2
401110775,57,Florida,45,2630,UT Martin,0,2
401112258,213,Penn State,45,2084,Buffalo,13,2
401110778,251,Texas,38,99,LSU,45,2
401110774,2,Auburn,24,2655,Tulane,6,2
401114193,2483,Oregon,77,2440,Nevada,6,2
401112443,153,North Carolina,28,2390,Miami,25,2
401117861,248,Houston,37,2504,Prairie View,17,2
401112140,2641,Texas Tech,38,2638,UTEP,3,2
401117501,23,San José State,16,202,Tulsa,34,2
401117502,2439,UNLV,17,2032,Arkansas State,43,2
401112230,278,Fresno State,35,135,Minnesota,38,2
401114175,264,Washington,19,25,California,20,2
401114207,30,USC,45,24,Stanford,20,2
401114165,12,Arizona,65,2464,Northern Arizona,41,2
401114200,62,Hawai'i,31,204,Oregon State,28,2
401112448,154,Wake Forest,24,153,North Carolina,18,3
401112098,103,Boston College,24,2305,Kansas,48,3
401114230,248,Houston,24,265,Washington State,31,3
401110792,344,Mississippi State,24,2306,Kansas State,31,3
401112144,277,West Virginia,44,152,NC State,27,3
401117863,2132,Cincinnati,35,193,Miami (OH),13,3
401112147,356,Illinois,31,2199,Eastern Michigan,34,3
401110788,61,Georgia,55,2032,Arkansas State,0,3
401112203,218,Temple,20,120,Maryland,17,3
401112455,259,Virginia Tech,24,231,Furman,17,3
401112259,213,Penn State,17,221,Pittsburgh,10,3
401110795,2633,Tennessee,45,236,Chattanooga,0,3
401112159,84,Indiana,10,194,Ohio State,51,3
401112452,59,Georgia Tech,24,2643,The Citadel,27,3
401114185,38,Colorado,23,2005,Air Force,30,3
401114257,2050,Ball State,31,2226,Florida Atlantic,41,3
401121939,324,Coastal Carolina,46,2450,Norfolk State,7,3
401114336,87,Notre Dame,66,167,New Mexico,14,3
401119263,2117,Central Michigan,45,2006,Akron,24,3
401112246,77,Northwestern,30,2439,UNLV,14,3
401112231,135,Minnesota,35,290,Georgia Southern,32,3
401117864,2426,Navy,42,151,East Carolina,10,3
401117865,6,South Alabama,6,235,Memphis,42,3
401110794,2579,South Carolina,23,333,Alabama,47,3
401114219,252,BYU,30,30,USC,27,3
401114261,2636,UT San Antonio,13,349,Army,31,3
401112124,202,Tulsa,21,197,Oklahoma State,40,3
401114208,2116,UCF,45,24,Stanford,27,3
401112086,66,Iowa State,17,2294,Iowa,18,3
401112214,127,Michigan State,7,9,Arizona State,10,3
401112453,98,Western Kentucky,21,97,Louisville,38,3
401110786,8,Arkansas,55,36,Colorado State,34,3
401112454,2390,Miami,63,2065,Bethune-Cookman,0,3
401110791,145,Ole Miss,40,2545,Southeastern Louisiana,29,3
401114201,204,Oregon State,45,13,Cal Poly,7,3
401114225,254,Utah,31,304,Idaho State,0,3
401114176,25,California,23,249,North Texas,17,3
401114258,189,Bowling Green,7,2348,Louisiana Tech,35,3
401117504,2751,Wyoming,21,70,Idaho,16,3
401114255,2429,Charlotte,52,113,UMass,17,3
401117866,58,South Florida,55,2569,South Carolina State,16,3
401114348,2335,Liberty,35,2084,Buffalo,17,3
401114260,2653,Troy,42,2572,Southern Mississippi,47,3
401114259,276,Marshall,33,195,Ohio,31,3
401112450,2393,Middle Tennessee,18,150,Duke,41,3
401110789,96,Kentucky,21,57,Florida,29,3
401119264,2711,Western Michigan,57,2247,Georgia State,10,3
401117505,2440,Nevada,19,2692,Weber State,13,3
401114256,2229,Florida International,30,160,New Hampshire,17,3
401110796,245,Texas A&M,62,2320,Lamar,3,3
401117867,2567,SMU,47,326,Texas State,17,3
401110787,2,Auburn,55,2309,Kent State,16,3
401119265,2649,Toledo,45,93,Murray State,0,3
401114234,264,Washington,52,62,Hawai'i,20,3
401112449,183,Syracuse,6,228,Clemson,41,3
401112130,2509,Purdue,13,2628,TCU,34,3
401112451,258,Virginia,31,52,Florida State,24,3
401110793,142,Missouri,50,2546,Southeast Missouri State,0,3
401121940,309,Louisiana,77,2640,Texas Southern,6,3
401110790,99,LSU,65,2466,Northwestern State,14,3
401112240,158,Nebraska,44,2459,Northern Illinois,8,3
401117868,2655,Tulane,58,2623,Missouri State,6,3
401112136,242,Rice,13,251,Texas,48,3
401114339,166,New Mexico State,10,21,San Diego State,31,3
401112116,26,UCLA,14,201,Oklahoma,48,3
401117503,68,Boise State,45,2502,Portland State,10,3
401112141,12,Arizona,28,2641,Texas Tech,14,3
401114194,2483,Oregon,35,149,Montana,3,3
401117869,2655,Tulane,38,248,Houston,31,4
401114262,2348,Louisiana Tech,43,2229,Florida International,31,4
401114220,30,USC,30,254,Utah,23,4
401117506,68,Boise State,30,2005,Air Force,19,4
401112462,183,Syracuse,52,2711,Western Michigan,33,4
401112464,154,Wake Forest,49,2210,Elon,7,4
401114327,349,Army,52,2415,Morgan State,21,4
401112215,77,Northwestern,10,127,Michigan State,31,4
401110797,333,Alabama,49,2572,Southern Mississippi,7,4
401110801,145,Ole Miss,20,25,California,28,4
401112160,84,Indiana,38,41,Connecticut,3,4
401112224,275,Wisconsin,35,130,Michigan,14,4
401112087,66,Iowa State,72,2433,Louisiana Monroe,20,4
401112265,164,Rutgers,16,103,Boston College,30,4
401110799,57,Florida,34,2633,Tennessee,3,4
401110805,238,Vanderbilt,38,99,LSU,66,4
401114355,113,UMass,28,324,Coastal Carolina,62,4
401119268,195,Ohio,25,309,Louisiana,45,4
401119267,2199,Eastern Michigan,34,2115,Central Connecticut,29,4
401119269,2006,Akron,7,2653,Troy,35,4
401112457,52,Florida State,35,97,Louisville,24,4
401114265,5,UAB,35,6,South Alabama,3,4
401112253,194,Ohio State,76,193,Miami (OH),5,4
401119266,2309,Kent State,62,189,Bowling Green,20,4
401117870,2084,Buffalo,38,218,Temple,22,4
401110804,245,Texas A&M,20,2,Auburn,28,4
401112461,221,Pittsburgh,35,2116,UCF,34,4
401112131,2628,TCU,38,2567,SMU,41,4
401117509,202,Tulsa,24,2751,Wyoming,21,4
401112459,153,North Carolina,31,2026,Appalachian State,34,4
401114235,252,BYU,19,264,Washington,45,4
401110803,142,Missouri,34,2579,South Carolina,14,4
401112458,2390,Miami,17,2117,Central Michigan,12,4
401110802,344,Mississippi State,28,96,Kentucky,13,4
401114340,167,New Mexico,55,166,New Mexico State,52,4
401112099,2305,Kansas,24,277,West Virginia,29,4
401114263,2226,Florida Atlantic,42,2681,Wagner,7,4
401116697,151,East Carolina,19,2729,William & Mary,7,4
401114349,2335,Liberty,62,2261,Hampton,27,4
401112460,152,NC State,34,2050,Ball State,23,4
401121942,326,Texas State,37,2247,Georgia State,34,4
401112075,242,Rice,13,239,Baylor,21,4
401114195,24,Stanford,6,2483,Oregon,21,4
401112463,258,Virginia,28,295,Old Dominion,17,4
401121941,2032,Arkansas State,41,79,Southern Illinois,28,4
401112125,251,Texas,36,197,Oklahoma State,30,4
401112456,228,Clemson,52,2429,Charlotte,10,4
401110798,8,Arkansas,24,23,San José State,31,4
401114264,249,North Texas,45,2636,UT San Antonio,3,4
401114266,2638,UTEP,21,2440,Nevada,37,4
401112148,356,Illinois,38,158,Nebraska,42,4
401110800,61,Georgia,23,87,Notre Dame,17,4
401114155,9,Arizona State,31,38,Colorado,34,4
401117510,278,Fresno State,34,16,Sacramento State,20,4
401117507,36,Colorado State,35,2649,Toledo,41,4
401114215,265,Washington State,63,26,UCLA,67,4
401117508,21,San Diego State,17,328,Utah State,23,4
401117511,62,Hawai'i,35,2110,Central Arkansas,16,4
401117871,235,Memphis,35,2426,Navy,23,5
401112465,259,Virginia Tech,10,150,Duke,45,5
401112204,120,Maryland,0,213,Penn State,59,5
401117512,2005,Air Force,41,23,San José State,24,5
401114156,25,California,17,9,Arizona State,24,5
401112117,201,Oklahoma,55,2641,Texas Tech,16,5
401112471,183,Syracuse,41,107,Holy Cross,3,5
401112193,2294,Iowa,48,2393,Middle Tennessee,3,5
401112225,130,Michigan,52,164,Rutgers,0,5
401112247,275,Wisconsin,24,77,Northwestern,15,5
401112100,2628,TCU,51,2305,Kansas,14,5
401110807,8,Arkansas,27,245,Texas A&M,31,5
401110811,238,Vanderbilt,24,2459,Northern Illinois,18,5
401117213,2649,Toledo,28,252,BYU,21,5
401119270,193,Miami (OH),34,2084,Buffalo,20,5
401119271,2711,Western Michigan,31,2117,Central Michigan,15,5
401112470,221,Pittsburgh,17,48,Delaware,14,5
401112466,103,Boston College,24,154,Wake Forest,27,5
401121943,2026,Appalachian State,56,324,Coastal Carolina,37,5
401112469,218,Temple,24,59,Georgia Tech,2,5
401110806,333,Alabama,59,145,Ole Miss,31,5
401114356,113,UMass,37,2006,Akron,29,5
401112161,127,Michigan State,40,84,Indiana,31,5
401112467,153,North Carolina,20,228,Clemson,21,5
401114221,264,Washington,28,30,USC,14,5
401112232,2509,Purdue,31,135,Minnesota,38,5
401112076,239,Baylor,23,66,Iowa State,21,5
401112472,87,Notre Dame,35,258,Virginia,20,5
401114267,2429,Charlotte,27,2226,Florida Atlantic,45,5
401117873,58,South Florida,21,2567,SMU,48,5
401110809,57,Florida,38,119,Towson,0,5
401114269,276,Marshall,14,2132,Cincinnati,52,5
401114271,295,Old Dominion,21,151,East Carolina,24,5
401121944,2653,Troy,43,2032,Arkansas State,50,5
401121945,290,Georgia Southern,24,309,Louisiana,37,5
401114350,2335,Liberty,17,167,New Mexico,10,5
401114273,98,Western Kentucky,20,5,UAB,13,5
401121947,326,Texas State,24,2447,Nicholls,3,5
401110808,2,Auburn,56,344,Mississippi State,23,5
401114268,242,Rice,20,2348,Louisiana Tech,23,5
401112108,197,Oklahoma State,26,2306,Kansas State,13,5
401114202,204,Oregon State,28,24,Stanford,31,5
401121946,2433,Louisiana Monroe,30,6,South Alabama,17,5
401117872,2116,UCF,56,41,Connecticut,21,5
401114272,2572,Southern Mississippi,31,2638,UTEP,13,5
401112468,52,Florida State,31,152,NC State,13,5
401112241,158,Nebraska,7,194,Ohio State,48,5
401117513,328,Utah State,34,36,Colorado State,24,5
401110810,2579,South Carolina,24,96,Kentucky,7,5
401114270,249,North Texas,25,248,Houston,46,5
401117514,2751,Wyoming,53,2439,UNLV,17,5
401114341,166,New Mexico State,17,278,Fresno State,30,5
401114226,254,Utah,38,265,Washington State,13,5
401117515,2440,Nevada,3,62,Hawai'i,54,5
401114166,12,Arizona,20,26,UCLA,17,5
401121948,6,South Alabama,17,290,Georgia Southern,20,6
401117874,151,East Carolina,17,218,Temple,27,6
401117875,2132,Cincinnati,27,2116,UCF,24,6
401117519,23,San José State,32,167,New Mexico,21,6
401110813,99,LSU,42,328,Utah State,6,6
401112194,130,Michigan,10,2294,Iowa,3,6
401112101,2305,Kansas,20,201,Oklahoma,45,6
